JobName,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19
Job_07169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.245252387,-0.098452645,3.797494693,0.00773871
Job_07170,0.028748398,12.17490373,120.7799281,108.6050244,7760.465049,-41.38683876,67.21818566,-0.006486325,95.05028226,-5.882981962,102.7220425,-41.29643523,67.30858918,0.050003229,5.882981962,3.158263763,-0.126564189,3.797187851,0.007354791
Job_07171,0.031700758,10.45934642,116.0413436,105.5819972,6043.304954,-29.53824781,76.04374942,0.003426434,95.28959671,-4.266932365,101.3150649,-29.25845046,76.32354677,0.050003518,4.266932365,3.149832403,-0.279016684,3.797329912,0.007601879
Job_07172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.239054512,-0.17732399,3.796915767,0.007193494
Job_07173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.102496974,-0.315205004,3.799030773,0.005098419
Job_07174,0.021776433,22.14615927,129.6378956,107.4917363,5171.548235,-66.04211827,41.44961805,0.000702748,95.15040945,-9.121576261,98.37016005,-66.03377291,41.4579634,0.050003197,9.121576261,3.221403244,-0.129742018,3.799606472,0.005790594
Job_07175,0.036201073,19.5326364,129.1725046,109.6398682,11008.75171,10.57888305,120.2187512,-0.00148852,95.2399808,-4.324933229,105.3149349,1.569516426,111.2093846,0.050003346,4.324933229,3.129574224,-0.168985009,3.797228493,0.007414791
Job_07176,0.055125489,18.98167498,119.3243142,100.3426393,5748.159685,-10.92221264,89.42042662,0.006008105,95.68149168,-2.109819549,98.23281971,-10.52252841,89.82011085,0.05000347,2.109819549,3.211513823,-0.16068622,3.799367122,0.00556086
Job_07177,0.043409104,16.93608918,127.5071575,110.5710683,14695.46665,-7.855259579,102.7158088,-0.006279432,95.23109336,-8.091566318,102.479502,2.051978869,112.6230472,0.050002949,8.091566318,3.192506515,-0.128826227,3.797142986,0.007325352
Job_07178,0.034814857,24.29009683,128.1681671,103.8780703,5453.954437,-25.22293149,78.65513881,-0.000432914,95.49007575,-2.727654966,101.1504153,-25.01548796,78.86258234,0.050003334,2.727654966,3.211386024,-0.07497288,3.797277009,0.006488095
Job_07179,0.036254436,9.083499935,111.9684539,102.8849539,5065.605681,-67.23680497,35.64814897,0.001593891,95.12658893,3.343985046,106.228939,-67.24202337,35.64293056,0.050003711,-3.343985046,3.187796728,-0.242150638,3.799102576,0.005589572
Job_07180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.286446805,-0.127033434,3.798347685,0.00744489
Job_07181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.274926885,-0.193350407,3.797989266,0.008149457
Job_07182,0.01730734,25.53943742,136.5119768,110.9725394,6136.245737,7.450989848,118.4235292,0.004345908,95.35397007,-2.443181373,108.529358,3.101607433,114.0741468,0.050002711,2.443181373,3.270888457,-0.0641081,3.797137344,0.006579048
Job_07183,0.040413504,50.38495529,158.6258112,108.2408559,10463.21748,-2.209461047,106.0313949,-0.003101894,95.13454593,-2.551521955,105.689334,-4.233782488,104.0070735,0.050002849,2.551521955,3.030368073,-0.224250913,3.798381342,0.006834426
Job_07184,0.056060925,13.75329221,118.938027,105.1847348,10207.80336,4.32704823,109.511783,-0.005008387,95.84889723,-5.406719893,99.7780149,25.85624198,131.0409768,0.050003417,5.406719893,3.100652876,-0.180654149,3.797765783,0.006339758
Job_07185,0.059649329,26.22975918,122.6909992,96.46123999,3978.086885,12.33840397,108.799644,-0.007290044,95.40386527,-1.223526078,95.23771391,27.78583992,124.2470799,0.050003224,1.223526078,3.05910123,-0.316963164,3.798229458,0.007157423
Job_07186,0.069024391,12.48749231,116.2417247,103.7542324,10660.1125,-43.98906409,59.76516828,0.004419101,94.03634127,-5.651337467,98.1028949,-44.05219129,59.70204108,0.050003126,5.651337467,3.052649846,-0.229192945,3.797136924,0.006576244
Job_07187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24616694,-0.225523944,3.798411682,0.006348158
